gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC726468,173.28,133.27,355.38,1.42,8.55,0.76,1.04,0.60,81.37,271.16,110.30,24.99,57.31,1383.27,658.57,158.40,980.09,641.74,335.17,1100.35,1542.42,1596.10,263.98,31.30,66.09
LOC726469,15.10,19.46,28.31,15.36,13.83,15.69,8.67,9.86,15.71,22.96,13.59,9.50,16.48,35.39,15.72,27.69,20.46,18.88,15.32,16.37,24.54,19.65,19.76,9.68,19.98
LOC552049,106.42,68.25,96.62,128.67,79.20,83.89,69.38,111.01,78.41,70.54,92.16,94.54,101.65,36.94,109.77,63.81,66.09,55.89,83.42,79.77,97.82,70.07,91.10,111.65,97.15
LOC552048,11.39,14.90,17.28,23.24,18.45,20.11,15.69,11.52,15.71,15.55,15.07,9.43,15.11,7.19,5.46,16.81,12.20,14.05,18.45,13.12,12.45,10.26,9.39,7.39,16.64
LOC552047,13.54,14.69,10.14,7.61,4.93,9.90,3.65,9.03,4.00,14.63,15.28,6.89,9.37,5.63,16.72,11.42,4.86,17.92,12.17,12.26,9.58,4.78,6.77,11.35,11.11
LOC552046,58.61,59.18,182.87,48.64,38.15,55.27,33.76,31.24,47.89,81.45,58.35,52.63,50.86,104.79,59.16,96.39,125.38,86.44,84.88,153.46,244.79,193.59,78.04,37.82,55.36
LOC726466,0.40,0.68,1.01,1.08,0.87,0.45,0.58,0.20,0.50,2.27,1.06,0.63,1.05,0.36,0.12,0.58,0.11,0.00,0.39,0.16,0.30,0.47,0.68,0.35,0.97
LOC552044,20.08,39.98,51.53,21.76,27.47,37.02,20.32,16.05,30.35,35.15,32.52,23.05,24.69,24.73,11.79,35.22,32.63,25.98,34.78,33.09,39.79,36.89,31.21,23.19,27.22
LOC552043,19.10,30.56,35.38,14.82,17.94,16.29,8.72,15.30,13.50,27.38,24.16,14.44,17.37,20.22,22.84,28.11,19.52,35.11,22.91,37.20,35.12,26.54,19.90,23.89,18.16
LOC552042,5.27,6.36,4.64,2.00,2.28,3.35,1.31,4.17,2.58,6.63,8.72,5.17,5.98,5.33,5.33,5.82,2.79,7.14,8.07,9.16,5.37,3.84,5.54,9.39,6.67
LOC552041,324.37,527.14,1472.98,346.05,392.63,1262.23,613.13,139.69,353.40,366.93,667.07,560.38,454.43,305.94,62.63,536.92,329.37,15.28,492.93,312.85,203.49,339.18,459.61,346.10,417.47
LOC552040,0.66,2.29,8.74,2.11,2.15,2.50,1.80,0.77,3.65,2.48,2.28,2.43,1.60,1.67,0.26,2.53,8.31,6.29,4.52,4.00,4.84,3.84,1.46,1.25,1.80
LOC100576878,224.37,275.28,277.67,282.59,233.37,251.49,176.97,128.92,184.95,208.26,183.98,159.32,276.73,166.75,105.49,326.10,130.86,144.40,138.86,128.60,104.16,99.74,163.62,151.67,155.03
LOC100576879,3.56,7.11,8.18,6.74,6.73,10.17,6.55,3.43,8.69,9.64,11.19,8.59,8.06,5.37,4.12,7.06,7.27,9.14,10.15,9.80,7.54,6.20,10.76,7.92,8.72
LOC107966108,0.45,0.23,0.48,0.14,0.74,0.28,0.40,0.11,0.75,0.32,0.20,0.13,0.94,0.10,0.41,0.36,0.00,0.15,0.05,0.30,0.33,0.18,0.53,0.00,0.24
LOC100576871,10.07,9.48,9.01,6.58,4.86,5.57,3.95,5.39,5.87,10.30,8.72,5.24,7.41,19.69,8.08,8.88,8.32,8.09,10.30,17.09,18.53,17.76,8.82,8.24,6.24
LOC100576872,2.59,4.22,2.18,1.73,2.62,2.34,0.78,1.44,0.98,4.08,2.62,2.13,3.35,3.29,1.06,2.89,1.72,2.99,3.62,6.38,7.57,2.86,1.59,2.24,2.07
LOC100576876,30.66,23.21,39.60,21.50,20.87,17.65,15.62,17.36,22.56,26.60,29.04,14.39,21.37,28.71,32.00,27.60,26.11,27.40,25.32,39.94,53.03,41.59,27.68,20.49,23.30
LOC408740,245.54,106.13,215.56,100.71,103.52,46.85,45.84,76.58,121.38,167.75,53.37,45.02,91.41,276.93,24.14,135.01,103.59,64.86,59.86,88.95,137.73,125.65,70.85,34.64,60.21
LOC408741,34.63,38.43,50.93,33.78,36.30,24.14,28.08,17.64,33.42,29.86,26.33,22.47,31.99,33.54,32.40,30.99,21.82,22.84,24.97,16.91,25.89,24.89,29.79,26.56,30.94
LOC408742,37.86,30.46,60.19,41.61,59.40,55.69,33.56,34.34,41.95,45.85,45.84,34.08,35.15,20.35,40.57,23.55,36.85,66.49,52.74,59.94,74.15,43.81,30.36,43.77,29.95
LOC408748,40.13,46.07,62.14,30.79,31.09,21.73,22.74,39.29,24.36,50.50,33.14,31.18,20.84,25.53,75.81,27.77,30.28,32.87,48.27,57.35,55.95,40.81,38.71,36.87,24.83
